company_id,company_name,industry,description,source,website,place_id
666,Oxbow Bakery,"cafe, bakery, restaurant, food, point_of_interest, store, establishment","2307 24th Ave E, Seattle, WA 98112, USA",google_places,https://www.oxbowmontlake.com/,ChIJHTNKasAVkFQR9HGgjH7MvAc
1200,Qmart,"store, point_of_interest, establishment","1321 N Callow Ave, Bremerton, WA 98312, USA",google_places,,ChIJ7_s-a3o3kFQR8p1I1YzlQTU
59,Al's Tavern,"bar, point_of_interest, establishment",,google_places,,
4,Uber Technologies Seattle Engineering Office,Tech,,google_places,https://www.uber.com/,ChIJZbXzmbFqkFQRwmEdR9dXw1o
6,Attentus Technologies,Tech,,google_places,https://www.attentus.tech/,ChIJ58F2Ex5tkFQRM4JbxDicGMw
7,Unity Technologies,Tech,,google_places,http://unity-technology.com/,ChIJlx6A4Ek1joAREBI8gFxUvvs
10,Levitate Gastropub,"bar, restaurant, point_of_interest, food, establishment",,google_places,https://www.levitategastropub.com/,ChIJIUAubYBvkFQREE4AuMi7j08
12,Mr West Cafe Bar Downtown,"cafe, bar, point_of_interest, food, establishment",,google_places,https://mrwestcafebar.com/,ChIJnzzCxkoVkFQRTECoVWZJFiA
13,Watershed Pub & Kitchen,"meal_takeaway, bar, restaurant, point_of_interest, food, establishment",,google_places,http://www.watershedpub.com/,ChIJgexusP8TkFQRbL-n7XJMhdc
16,The Goose Pub & Eatery,"bar, restaurant, point_of_interest, food, establishment",,google_places,http://www.thegoosepub.com/,ChIJBeN62_VskFQRolgeXT5Ho5k
17,Imperial kitchen and bar,"restaurant, bar, point_of_interest, food, establishment",,google_places,http://imperialbelltown.com/,ChIJrwaaUuoVkFQRkQIBZ4Er8po
18,Phinney Station,"bar, point_of_interest, establishment",,google_places,https://www.phinneystation.com/,ChIJSxx6NGAVkFQRRIBxMNSzEBg
20,The Lost Dutchman Sports Bar,"night_club, bar, restaurant, point_of_interest, food, establishment",,google_places,https://www.thelostdutchmanbar.com/,ChIJQ2GjcV1gkFQRhb_GTiDgBAQ
22,Slim Goody Sports Bar,"restaurant, bar, point_of_interest, food, establishment",,google_places,https://www.slimgoodyseattle.com/,ChIJO3yWBQAVkFQRzazykgAmy7A
24,Whiskey Gulch,"restaurant, bar, point_of_interest, food, establishment",,google_places,http://www.whiskeygulchpo.com/,ChIJzwvuZJM3kFQRydAUwEFr1c8
25,Lottie's Lounge,"bar, restaurant, point_of_interest, food, establishment",,google_places,http://lottiesseattle.com/,ChIJ_4mVKAxqkFQRJDAkHIbxEhU
27,Ables Steakhouse,"restaurant, bar, point_of_interest, food, establishment",,google_places,https://ablessteakhouse.com/,ChIJd0jOJjxFkFQR64gAV6_1yrI
28,Palmers East,"night_club, bar, restaurant, point_of_interest, food, establishment",,google_places,http://www.facebook.com/PalmersEast,ChIJYSMLAa5ykFQRA-yTZvsBFDY
29,JOEY Bellevue,"restaurant, point_of_interest, food, establishment",,google_places,https://joeyrestaurants.com/location/joey-bellevue,ChIJJ7WjO49skFQR-4IwG2Zujgg
31,Arnies Restaurant,"restaurant, point_of_interest, food, establishment",,google_places,http://www.arniesrestaurant.com/,ChIJc1Y_0PgakFQRP3DUOkpjB4I
34,Latona Pub,"restaurant, bar, meal_takeaway, point_of_interest, food, establishment",,google_places,http://www.latonapub.com/,ChIJjQ5WUGkUkFQRqqckLhz94Wc
36,Bar Harbor,"bar, restaurant, point_of_interest, food, establishment",,google_places,http://www.barharbormaine.gov/,ChIJkyWAFUi-rkwRG9nKKGUa6Yg
37,Three Lions Pub Novelty Hill,"bar, point_of_interest, establishment",,google_places,http://www.thethreelionspubwa.com/,ChIJ0aRE4VdzkFQRYlJKvZwO6Ag
39,Cafe Hagen (Modern Scandinavian All Day Restaurant and Cocktail Bar),"restaurant, point_of_interest, food, establishment",,google_places,http://cafehagen.com/,ChIJPVMVVABtkFQR79rTIEQnnjI
40,Admiral Pub,"bar, restaurant, point_of_interest, food, establishment",,google_places,https://admiralpubseattle.com/,ChIJu-DFfW9AkFQRDg08txAbIh4
41,Can Can Culinary Cabaret,"bar, restaurant, point_of_interest, food, establishment",,google_places,http://thecancan.com/tickets,ChIJt6GM-bJqkFQRGOqskPuiqp4
43,Finn MacCool’s Irish Public House,"bar, restaurant, point_of_interest, food, establishment",,google_places,https://www.finnmaccools.com/,ChIJAwwZrvQUkFQRu6zb8LQWYig
44,Smarty Pants Garage,"bar, restaurant, point_of_interest, food, establishment",,google_places,http://www.smartypantsgarage.com/,ChIJZ4SDpJxEkFQRGsqVXWRrKfQ
46,Lotus on The Beach,"bar, restaurant, point_of_interest, food, establishment",,google_places,https://www.lotusonthebeach.us/,ChIJB_j9MABBkFQRowQPKV6mRX4
48,Perihelion Brewery,"bar, restaurant, point_of_interest, food, establishment",,google_places,http://www.perihelionbrewery.com/,ChIJ3yfKEIdqkFQRdgzcpwqH6dw
49,Ben Paris,"restaurant, point_of_interest, food, establishment",,google_places,http://benparis.com/,ChIJtRCZSe9rkFQRxl4Y_upZoF0
3,Progressive Tech,Tech,,google_places,http://www.progressivetech.com/,ChIJCXi8om8UkFQRXt-hRVZNdGY
32,Riverbend Bar & Grill,"bar, restaurant, point_of_interest, food, establishment",,google_places,https://riverbendgrill.com/,ChIJh_NH4udbkFQR4v2X6rwBKi8
50,Baker's,"bar, point_of_interest, establishment",,google_places,http://fujibakeryinc.com/,ChIJ2UIdj7xqkFQRf5OVSNKl2DQ
